cusip,comp_conm,tic,factiva_tag,factiva_name,sim
35353C10,FRANKLIN FINANCIAL CORP/VA,FRNK,fkzinc,Franklin Financial Corp.,1
35461310,FRANKLIN RESOURCES INC,BEN,,,
35567320,FREDERICK BREWING CO,FRBW,frdbrw,Frederick Brewing Co,1
35610810,FREDS INC,FRED,frdinc,Fred's Inc,1
35639010,FREEDOM HOLDING CORP,FRHC,intufc,"Freedom Holding Corp., seexc",0.878048780487805
35660210,FREEMARKETS INC,FMKT,frmkac,FreeMarkets Inc,1
35671440,FREEPORT MCMORAN INC,FTX,fmcc,Freeport McMoRan Copper & Gold Inc,0.791666666666667
35671D85,FREEPORT-MCMORAN INC,FCX,fmcc,Freeport McMoRan Copper & Gold Inc,0.791666666666667
35671N10,FREEPORT MCMORAN OIL&GAS CO,FMP.1,fmcc,Freeport McMoRan Copper & Gold Inc,0.730769230769231
35702310,FREIGHTCAR AMERICA INC,RAIL,fcaacq,"FreightCar America Inc, nrfwst",0.875
35801010,FREQUENCY ELECTRONICS INC,FEIM,frqelc,Frequency Electronics Inc,1
35803110,FRESENIUS USA INC,FRN.3,dlmd,"Fresenius USA Inc, dlmdx",0.864864864864865
35803210,FRESH CHOICE INC,SALDQ,frshch,"Fresh Choice Inc, frshchx",0.810810810810811
35803310,FRESH JUICE CO INC,FRSH.,fresj,FRESH JUICE CO INC,1
35803910,FRESHPET INC,FRPT,,,
35803U10,FRESH BRANDS INC,FRSH.1,shusav,Fresh Brands Inc,1
35804H10,FRESH MARKET INC,TFM,,,
35832120,FRETTER INC,3FTTRE,frtinc,"Fretter Inc, frtincx",0.758620689655172
35834010,FREYMILLER TRUCKING INC,FRMLQ,frey,"Freymiller Trucking Inc, freyx",0.897959183673469
35843010,FRIEDE GOLDMAN HALTER INC,FGHLQ,fdgm,"Friede Goldman Halter Inc, halmar",0.884615384615385
35843510,FRIEDMAN INDUSTRIES INC,FRD,frd,"Friedman Industries Inc, frdx",0.916666666666667
35843810,FRIEDMANS INC,FRDMQ,frdusa,Friedman's Inc,1
35849710,FRIENDLY ICE CREAM CORP,FRN.2,friend,Friendly Ice Cream Corp,1
35874310,FRISBY TECHNOLOGIES INC,FRIZQ,frsbyt,Frisby Technologies Inc,1
35874810,FRISCH'S RESTAURANTS INC,FRS,frs,"Frisch's Restaurants Inc, frsx",0.916666666666667
35884610,FRITZ COS INC,FRTZ,frtzco,"Fritz Companies Inc, frtzcox",0.774193548387097
35905010,FRONTIER ADJUSTERS OF AMER,FAJ,fradj,Frontier Adjusters of America Inc,0.867924528301887
35905910,FRONTIER AIRLINES HOLDINGS,FRNTQ,frtair,Frontier Airlines Holdings Inc,0.923076923076923
35906A30,FRONTIER COMMUNICATIONS CORP,FTR,ciut,Frontier Communications Corporation,0.88135593220339
35906P10,FRONTIER CORP,FRO.1,rtec,FRONTIER CORP,1
35907K20,FRONTIER FINANCIAL CORP/WA,FTBK,ffinco,Frontier Financial Corp,1
35908110,FRONTIER INSURANCE GROUP INC,FTERQ,fntins,"Frontier Insurance Group Inc, fntinsx",0.88135593220339
35914P10,FRONTIER OIL CORP,FTO,wainco,Frontier Oil Corp,1
35921N10,FRONTLINE CAPITAL GROUP,FLCGQ,,,
35921W10,FRONTSTEP INC,FSTP,mmser,Frontstep Inc,1
35936010,FROZEN FOOD EXPRESS INDS,FFEX,fexp,Frozen Food Express Industries Inc,0.807692307692308
35939710,FRUEHAUF TRAILER CORP,FTCFQ,frutrl,"Fruehauf Trailer Corp, frutrlx",0.844444444444445
35952310,FUEL TECH INC,FTEK,futc,"Fuel-Tech Inc, futcx",0.827586206896552
35952H60,FUELCELL ENERGY INC,FCEL,enresc,FuelCell Energy Inc,1
35952W10,FUEL SYSTEMS SOLUTIONS INC,FSYS,airsen,Fuel Systems Solutions Inc,1
35953610,FUISZ TECHNOLOGIES LTD,FUSE,fuiszt,FUISZ TECHNOLOGIES LTD,1
35966410,FULGENT GENETICS INC,FLGT,fulgth,"Fulgent Genetics, Inc., pjh",0.926829268292683
35967810,FULL HOUSE RESORTS INC,FLL,fhri,Full House Resorts Inc,1
35967N10,FULL LINE DISTRIBUTORS INC,FLD,latsp,Full Line Distributors Inc,1
35969410,FULLER (H. B.) CO,FUL,fulh,HB Fuller Co,0.8
36027110,FULTON FINANCIAL CORP,FULT,fulfi,"Fulton Financial Corp, fulfix",0.863636363636364
36076210,FUNCO INC,FNCO,funvid,"FUNCO INC, funvidx",0.72
36077T20,FUNCTION(X) INC,FNCX,gcomm,Function (X) Inc.,1
36091010,FUTURE NOW INC,FNOW,futnow,"FUTURE NOW INC (OH), futnowx",0.742857142857143
36091110,FUTURE HEALTHCARE INC,FHCI,ftrhc,"Future Healthcare Inc, ftrhcx",0.869565217391304
36100810,FUNKO INC,FNKO,,,
36102210,FUQUA ENTERPRISES INC,FQE,sve,FUQUA ENTERPRISES INC,1
36102A20,FUQI INTERNATIONAL INC,FUQI,fuqiii,"Fuqi International, Inc.",1
36106P10,FURIEX PHARMACEUTICALS INC,FURX,,,
36108610,FURMANITE CORP,FRM,kaneb,Furmanite Corporation,0.787878787878788
36112810,FUSION MED TECHNOLOGIES INC,FSON.,fusmed,Fusion Medical Technologies Inc,0.925925925925926
36112J10,FUSION-IO INC,FIO,fusioz,"Fusion-io, Inc.",1
36112N10,FUSION NETWORKS HOLDINGS INC,FUSN,idmev,Fusion Networks Holdings Inc,1
36113E10,FUSHI COPPERWELD INC,FSIN,pati,Fushi Copperweld Inc.,1
36116M10,FUTUREFUEL CORP,FF,,,
36117V10,FUTURE FINTECH GROUP INC,FTFT,,,
36120Q10,FVCBANKCORP INC,FVCB,,,
36126810,G&K SERVICES INC,GK,gksr,G&K Services Inc,1
36143710,GA FINANCIAL INC,GAF.1,gafinl,GA Financial Inc,1
36143810,GAMCO INVESTORS INC,GBL,gabamg,GAMCO Investors Inc.,1
36144810,GATX CORP,GATX,gatxco,"GATX Corp, gatxcox",0.695652173913044
36146210,G B & T BANCSHARES INC,GBTB,gbtbnc,GB & T Bancshares Inc,1
36147510,GBC BANCORP/CA,GBCB,gbcban,"GBC Bancorp, gbcbanx",0.740740740740741
36149F10,GBC TECHNOLOGIES INC,GBCT,gbcbc,G B C TECHNOLOGIES INC,1
36150A10,GB HOLDINGS INC,GBHDQ,,,
36155Q10,GC COMPANIES INC,GCCXQ,gccoo,"GC Companies Inc, amce",0.818181818181818
36158210,GEICO CORP,GEC.1,,,
36162J10,GEO GROUP INC,GEO,wakc,"The GEO Group Inc, falpro",0.727272727272727
36164V30,GCI LIBERTY INC,GLIBA,,,
36164Y10,GCP APPLIED TECHNOLOGIES INC,GCP,,,
36165220,GFI GROUP INC,GFIG,gfigrp,"GFI Group Inc, royca",0.827586206896552
36165A10,GEE GROUP INC,JOB,,,
36177810,GLB BANCORP INC,GLBK,glbanc,GLB Bancorp Inc,1
36189710,GMIS INC,GMIS,gmisin,"G M I S INC, gmisinx",0.695652173913044
36191G10,GNC HOLDINGS INC,GNC,,,
36191U10,GT ADVANCED TECHNOLOGIES INC,GTATQ,gtslri,GT Advanced Technologies Inc.,1
36191X10,GSE HOLDING INC,GSEHQ,,,
36192210,GRC INTL INC,GRH.2,flog,"GRC International Inc, flogx",0.814814814814815
36202210,GNI GROUP INC,GNUC,ccred,Citigroup Inc.,0.8
3621LQ10,G1 THERAPEUTICS INC,GTHX,,,
36223210,GRI CORP,7543B,gricor,"GRI Corp, gricorx",0.666666666666667
36225V10,GP STRATEGIES CORP,GPX,npdc,GP Strategies Corporation,0.82051282051282
36225X10,GPU INC,GPU.,,,
36226310,GSB FINANCIAL CORP,GOSB,gsbfin,G S B FINANCIAL CORP,1
36227410,GS FINANCIAL CORP,GSLA,gsfina,GS Financial Corp,1
36227K10,GSE SYSTEMS INC,GVP,,,
36229H10,GT BICYCLES INC,GTBX,gtbicy,GT Bicycles Inc,1
36230D20,GSV INC,GSVI,cybers,GSV Inc,1
36232010,GTE CORP,GTE.1,,,
36236010,GTI CORP,GGTI,gticor,"GTI Corp, gticorx",0.666666666666667
36237710,GWC CORP,GWCC,genww,"GWC Corp, genwwx",0.7
