cusip,st_date,en_date,num_art
03783310,2012-01-19,2012-01-19,130
03783310,2012-01-20,2012-01-20,102
03783310,2012-01-23,2012-01-23,109
03783310,2012-01-24,2012-01-24,180
03783310,2012-01-25,2012-01-25,257
03783310,2012-01-26,2012-01-26,144
03783310,2012-01-27,2012-01-27,101
03783310,2012-01-31,2012-01-31,115
03783310,2012-02-01,2012-02-01,109
03783310,2012-02-08,2012-02-08,104
03783310,2012-02-09,2012-02-09,148
03783310,2012-02-10,2012-02-10,130
03783310,2012-02-13,2012-02-13,156
03783310,2012-02-14,2012-02-14,176
03783310,2012-02-15,2012-02-15,174
03783310,2012-02-16,2012-02-16,185
03783310,2012-02-17,2012-02-17,146
03783310,2012-02-21,2012-02-21,129
03783310,2012-02-22,2012-02-22,105
03783310,2012-02-23,2012-02-23,178
03783310,2012-02-24,2012-02-24,136
03783310,2012-02-27,2012-02-27,152
03783310,2012-02-28,2012-02-28,128
03783310,2012-02-29,2012-02-29,149
03783310,2012-03-01,2012-03-01,153
03783310,2012-03-02,2012-03-02,102
03783310,2012-03-05,2012-03-05,148
03783310,2012-03-06,2012-03-06,176
03783310,2012-03-07,2012-03-07,404
03783310,2012-03-08,2012-03-08,255
03783310,2012-03-09,2012-03-09,162
03783310,2012-03-12,2012-03-12,153
03783310,2012-03-13,2012-03-13,141
03783310,2012-03-14,2012-03-14,169
03783310,2012-03-15,2012-03-15,187
03783310,2012-03-16,2012-03-16,258
03783310,2012-03-19,2012-03-19,356
03783310,2012-03-20,2012-03-20,205
03783310,2012-03-21,2012-03-21,139
03783310,2012-03-22,2012-03-22,129
03783310,2012-03-23,2012-03-23,158
03783310,2012-03-26,2012-03-26,119
03783310,2012-03-27,2012-03-27,124
03783310,2012-03-28,2012-03-28,128
03783310,2012-03-29,2012-03-29,126
03783310,2012-03-30,2012-03-30,127
03783310,2012-04-02,2012-04-02,128
03783310,2012-04-03,2012-04-03,135
03783310,2012-04-05,2012-04-05,123
